City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,San Patricio,US,2022-11-25 22:08:56,28.017,-97.5169,62.47,96,100,6.33
190,Trelew,AR,2022-11-25 22:08:56,-43.249,-65.3051,94.78,8,0,20.62
191,Bermeo,ES,2022-11-25 22:08:56,43.4209,-2.7215,48.49,83,83,6.53
192,Andenes,NO,2022-11-25 22:08:57,69.3143,16.1194,28.38,86,0,5.75
193,Sept-Iles,CA,2022-11-25 22:05:07,50.2001,-66.3821,26.06,94,100,11.5
194,Arzgir,RU,2022-11-25 22:08:57,45.3728,44.2206,47.05,76,100,12.1
195,Xinzhi,CN,2022-11-25 22:08:58,36.4989,111.7047,43.86,39,75,3.4
196,Lorengau,PG,2022-11-25 22:08:58,-2.0226,147.2712,83.93,63,81,4.85
197,Mmathubudukwane,BW,2022-11-25 22:08:58,-24.6,26.4333,73.06,58,82,13.0
198,Praia Da Vitoria,PT,2022-11-25 22:08:59,38.7333,-27.0667,62.76,98,100,5.88
199,Hobyo,SO,2022-11-25 22:08:59,5.3505,48.5268,79.38,74,6,10.85
200,Hof,DE,2022-11-25 22:08:59,50.3167,11.9167,42.75,92,100,9.22
201,Marawi,PH,2022-11-25 22:09:00,7.9986,124.2928,67.55,93,89,1.86
202,Saurimo,AO,2022-11-25 22:09:00,-9.6608,20.3916,63.59,95,100,0.36
203,Huanren,CN,2022-11-25 22:09:01,41.2647,125.3667,25.32,52,27,9.26
204,Barranca,PE,2022-11-25 22:09:01,-10.75,-77.7667,69.69,78,25,8.99
205,Constitucion,CL,2022-11-25 22:09:01,-35.3333,-72.4167,64.36,65,13,2.51
206,Ballina,AU,2022-11-25 22:09:02,-28.8667,153.5667,76.01,78,43,5.82
207,Digha,IN,2022-11-25 22:09:02,21.6833,87.55,63.12,49,0,10.13
208,Luderitz,NA,2022-11-25 22:09:03,-26.6481,15.1594,60.15,64,1,27.54
209,Khor,RU,2022-11-25 22:08:48,47.8861,134.9464,13.98,96,100,3.8
210,Gopalpur,IN,2022-11-25 22:09:03,19.2667,84.9167,67.5,69,0,6.44
211,Georgetown,MY,2022-11-25 22:08:36,5.4112,100.3354,80.24,87,20,0.0
212,Monterey,US,2022-11-25 22:09:04,36.2505,-121.2516,73.18,17,7,2.73
213,Quatre Cocos,MU,2022-11-25 22:09:04,-20.2078,57.7625,75.31,75,80,13.6
214,Thinadhoo,MV,2022-11-25 22:09:04,0.5333,72.9333,80.49,78,100,11.72
215,Zhigansk,RU,2022-11-25 22:09:05,66.7697,123.3711,-36.69,98,95,7.25
216,Northam,GB,2022-11-25 22:09:05,51.0333,-4.2167,49.39,88,95,11.16
217,Mogzon,RU,2022-11-25 22:09:05,51.7435,111.9606,-14.17,99,20,1.34
218,Maarianhamina,AX,2022-11-25 22:09:06,60.0973,19.9348,35.46,87,100,6.91
219,Grand-Santi,GF,2022-11-25 22:09:06,4.25,-54.3833,79.0,79,86,3.83
220,Ginda,IN,2022-11-25 22:09:07,30.6945,78.4932,50.22,24,36,7.47
221,Ixtapa,MX,2022-11-25 22:09:07,20.7,-105.2,78.22,69,40,9.22
222,Upernavik,GL,2022-11-25 22:08:50,72.7868,-56.1549,9.12,84,100,6.08
223,Pacific Grove,US,2022-11-25 22:09:08,36.6177,-121.9166,74.88,35,0,5.01
224,Southbridge,US,2022-11-25 22:07:49,42.0751,-72.0334,48.6,83,99,1.99
225,Gairo,IT,2022-11-25 22:09:08,39.8497,9.5047,49.17,93,100,3.87
226,Honiara,SB,2022-11-25 22:09:08,-9.4333,159.95,83.32,74,65,3.44
227,Aklavik,CA,2022-11-25 22:09:09,68.2191,-135.0107,0.16,98,94,1.48
228,Boxtel,NL,2022-11-25 22:05:04,51.5833,5.3167,44.94,97,0,7.49
229,Sao Filipe,CV,2022-11-25 22:09:09,14.8961,-24.4956,76.23,64,0,11.95
230,Khed Brahma,IN,2022-11-25 22:10:10,24.0333,73.05,61.75,27,0,5.61
231,Nova Venecia,BR,2022-11-25 22:10:10,-18.7106,-40.4006,72.66,94,96,5.12
232,Esperance,AU,2022-11-25 22:10:11,-33.8667,121.9,60.89,79,19,10.49
233,Walvis Bay,NA,2022-11-25 22:10:11,-22.9575,14.5053,58.08,78,0,18.48
234,Demirci,TR,2022-11-25 22:10:11,39.0461,28.6589,39.4,89,98,5.01
235,Gat,IL,2022-11-25 22:10:12,31.61,34.7642,62.4,100,60,13.29
236,Ribeira Grande,PT,2022-11-25 22:10:12,38.5167,-28.7,64.78,81,100,8.99
237,San Carlos,VE,2022-11-25 22:10:12,9.6612,-68.5827,77.88,85,98,2.08
238,Shaunavon,CA,2022-11-25 22:10:13,49.6501,-108.4181,46.33,52,100,23.62
239,Geraldton,AU,2022-11-25 22:10:13,-28.7667,114.6,50.41,87,8,6.91
240,Misratah,LY,2022-11-25 22:10:13,32.3754,15.0925,66.07,67,65,2.21
241,Chapada Dos Guimaraes,BR,2022-11-25 22:06:57,-15.4606,-55.7497,85.66,52,91,4.59
242,Labuhan,ID,2022-11-25 22:10:14,-6.8844,112.2051,77.9,83,100,4.05
243,Kadaya,RU,2022-11-25 22:10:14,50.9327,119.2911,-13.02,99,91,3.44
244,Xinqing,CN,2022-11-25 22:10:15,48.2333,129.5,14.85,94,100,5.41
245,Jacareacanga,BR,2022-11-25 22:10:15,-6.2222,-57.7528,75.27,95,79,1.3
246,Salalah,OM,2022-11-25 22:10:15,17.0151,54.0924,75.29,73,20,2.3
247,Mananjary,MG,2022-11-25 22:10:16,-21.2167,48.3333,71.74,89,90,4.03
248,Castro,BR,2022-11-25 22:10:16,-24.7911,-50.0119,63.0,73,74,7.16
249,San Fernando,PH,2022-11-25 22:10:17,15.0286,120.6898,76.73,89,48,3.96
250,Ron Phibun,TH,2022-11-25 22:10:17,8.1791,99.8542,74.39,95,88,4.07
251,Dobrun,RU,2022-11-25 22:10:18,53.1851,34.2462,32.07,100,100,7.0
252,Guaymas,MX,2022-11-25 22:10:18,27.9333,-110.9,73.45,22,0,19.1
253,Pevek,RU,2022-11-25 22:10:18,69.7008,170.3133,-3.95,92,100,3.85
254,Meulaboh,ID,2022-11-25 22:10:19,4.1363,96.1285,75.54,86,97,3.22
255,Dzhebariki-Khaya,RU,2022-11-25 22:10:19,62.2167,135.8,-47.7,100,98,1.36
256,Kruisfontein,ZA,2022-11-25 22:10:20,-34.0033,24.7314,51.89,73,2,6.62
257,Wawa,NG,2022-11-25 22:10:20,9.9022,4.4192,77.29,29,64,4.34
258,Inhambane,MZ,2022-11-25 22:10:20,-23.865,35.3833,76.53,91,49,7.0
259,Moerai,PF,2022-11-25 22:10:21,-22.4333,-151.3333,73.51,68,99,16.42
260,Nongan,CN,2022-11-25 22:10:21,44.382,125.1685,18.73,46,75,14.85
261,Lardos,GR,2022-11-25 22:10:21,36.0942,28.0157,59.95,72,0,19.08
262,Huarmey,PE,2022-11-25 22:10:22,-10.0681,-78.1522,70.41,80,66,9.06
263,Taunsa,PK,2022-11-25 22:10:22,30.7048,70.6505,62.94,22,42,1.57
264,Khuzhir,RU,2022-11-25 22:10:22,53.1939,107.3397,15.24,70,95,15.77
265,Suluova,TR,2022-11-25 22:10:23,40.8313,35.6479,44.46,100,75,4.61
266,Clyde River,CA,2022-11-25 22:10:23,70.4692,-68.5914,-9.17,77,75,4.61
267,Klaksvik,FO,2022-11-25 22:10:23,62.2266,-6.589,49.12,84,81,25.59
268,Santa Rosa Del Sur,CO,2022-11-25 22:10:24,7.9644,-74.0544,74.62,89,93,1.99
269,Kaitangata,NZ,2022-11-25 22:10:24,-46.2817,169.8464,52.39,65,99,8.77
270,Tevaitoa,PF,2022-11-25 22:10:25,-16.7833,-151.5,77.83,75,36,15.5
271,Broken Hill,AU,2022-11-25 22:10:25,-31.95,141.4333,78.71,21,31,19.44
272,Salamiyah,SY,2022-11-25 22:10:20,35.0113,37.0532,53.26,77,97,13.53
273,Prince Rupert,CA,2022-11-25 22:10:25,54.3161,-130.3201,42.08,94,100,9.28
274,Tabas,IR,2022-11-25 22:10:26,33.5959,56.9244,60.57,23,0,3.13
275,Changying,CN,2022-11-25 22:10:26,52.8733,123.3213,3.16,97,100,2.77
276,Camacha,PT,2022-11-25 22:10:27,33.0833,-16.3333,63.82,68,0,3.44
277,Bandarbeyla,SO,2022-11-25 22:11:27,9.4942,50.8122,77.67,77,6,12.24
278,Acajutla,SV,2022-11-25 22:11:27,13.5928,-89.8275,82.35,75,31,3.71
279,Raglan,NZ,2022-11-25 22:11:28,-37.8,174.8833,69.1,57,19,7.96
280,Hohhot,CN,2022-11-25 22:11:28,40.8106,111.6522,18.84,20,73,3.09
281,Lasa,IT,2022-11-25 22:11:28,46.6166,10.7002,32.36,86,100,5.44
282,Saskylakh,RU,2022-11-25 22:11:29,71.9167,114.0833,-16.28,98,99,5.7
283,Helsinki,FI,2022-11-25 22:11:29,60.1695,24.9355,32.04,87,75,11.99
284,Santa Rosa,PH,2022-11-25 22:11:30,14.3122,121.1114,80.58,90,76,5.68
285,Vilhena,BR,2022-11-25 22:07:13,-12.7406,-60.1458,76.37,70,84,2.57
286,Rock Falls,US,2022-11-25 22:11:30,41.7798,-89.689,49.14,58,0,6.91
287,Sao Paulo De Olivenca,BR,2022-11-25 22:11:31,-3.3783,-68.8725,78.31,91,50,1.19
288,Khani,GE,2022-11-25 22:11:31,41.9563,42.9566,56.77,62,100,5.53
289,Bajil,YE,2022-11-25 22:11:31,15.0584,43.2851,79.61,67,1,1.97
290,Sungaipenuh,ID,2022-11-25 22:11:32,-2.0833,101.3833,63.72,97,100,1.05
291,Oistins,BB,2022-11-25 22:11:32,13.0667,-59.5333,80.69,74,20,14.97
292,Grand Gaube,MU,2022-11-25 22:11:32,-20.0064,57.6608,75.6,69,88,4.0
